0,file_name,text
1,1.jpg,"if you get tired, learn to rest, not to quit."
2,2.jpg,dare to trust yourself
3,3.jpg,christ your key to true power
4,4.jpg,know that dream cometrue
5,5.jpg,does your mind focus on fun
6,6.jpg,you dreamer
7,7.jpg,arrive inspired
8,8.jpg,ask for god breakthroughs daily
9,9.jpg,reach deeper and groow
10,10.jpg,divine time becomes future fruit
11,11.jpg,call god everyday anytime
12,12.jpg,enjoying kingdom freedom
13,13.jpg,ask for god's vision
14,14.jpg,the magic of god-given confidence
15,15.jpg,first grow
16,16.jpg,love
17,17.jpg,unusaually weird activities in the air
18,18.jpg,"some bosses don't want to hire people who have a vision, a personality and a shtick that's okay you don't want to work for them anyway"
19,19.jpg,the foolish man seels happiness in the distance the wise grows it under his feet
20,20.jpg,just when the catepillar thought the world was over...it become a butterfly
21,21.jpg,sometimes when you let things happen they just happen
22,22.jpg,its never too late to be who you might've been
23,23.jpg,she blew her cares in the wind
24,24.jpg,she turned her cant's into cans and her dreams into plans
25,25.jpg,the best way to predict your future is to crate it
26,26.jpg,in life as in football you won't go far unless you know where the goalposts are
27,27.jpg,i believe the true road to preeminent success in any line is to make yourself master of that line
28,28.jpg,i may not be there yet but i'm closer than i was yesterday
29,29.jpg,even if you're on the right track you'll get run over if you just sit there
30,30.jpg,a successful man is one who can lay a firm foundation with the bricks others have thrown at him
31,31.jpg,inspiration comes to us slowly and quietly prime it with a little solitue
32,32.jpg,you know you're in love when you can't fall asleep because reality is finally better than your dreams
33,33.jpg,be faithful in small things because it is in them that your strength lies
34,34.jpg,and when it rains on your parade look up rather than down without the rain there would be no rainbow
35,35.jpg,there is a secret psychollogy of modey most people don't know about it that's why most people don;t lnow about it that's why most people never become financially successful a lack of money is not the problem it is merely a symptom of going on inside of you
36,36.jpg,challenges are wht make life interesting overcoming them is what makes life meaningful
37,37.jpg,positive attitudes create a chain reaction of positive thoughts
38,38.jpg,the jouney to excellence begins beyound the call of duty
39,39.jpg,the moment somebody says this is very risky is the moment it becomes attractive to me
40,40.jpg,by doubting we arrive at the truth
41,41.jpg,the practive of forgiveness is our most important contriburion to the healing of the world
42,42.jpg,you are built not to shrink down to less but to blossom into more
43,43.jpg,in the confromtation between the stream and the rock the stream always wins not through strength but through persistence
44,44.jpg,if you live your life worrying what others might think or say about things you want to do you will never accomplish anything don't make choices according to other people's approval because there's only one person impoertant enough whose thinking is worth considering ans that person is you
45,45.jpg,the idea is not to compete and be better than everyone else it's to compare yourself with who you really want to be
46,46.jpg,our main business is not to see what lies dimly at a distance but to do what lies clearly at hand
47,47.jpg,if what your're doing is not your passion you have nothing to lose
48,48.jpg,god does not create a lock without its key god doesn't give you problems withour it's solutions
49,49.jpg,happiness will never come to those who fail to appreciate what they alreadt have
50,50.jpg,thinking too much can only cause problems
51,51.jpg,family is not about blood it's about who is willing to hold your hand when you need it the most
52,52.jpg,a great relationship is about two things first appreciating the similarities and second respecting the differences
53,53.jpg,education is simply the soul of society as it passes from one generation to another
54,54.jpg,take every chance you get in life because some things only happen once
55,55.jpg,your past mistakes are meant to guide you not defines you
56,56.jpg,obstacles are those lightful things you see when you take your eyes off your goal
57,57.jpg,we cannot direct the wind but we can adjust the sails
58,58.jpg,the heart is like a garden it can grow compassion or fear resentment or love what seeds will you plant there
59,59.jpg,in the blink of an eye everything can change so forgive often and love with all your heart you may never know when you may not have that chance again
60,60.jpg,every jouney needs a first step
61,61.jpg,a life lived in worry tension and fear is a life half lived
62,62.jpg,be who you are and say what you mean because those who mind don't matter and those who matter fon't mind
63,63.jpg,may you overcome every darkness you face in life with the light of your soul
64,64.jpg,stop thinking just live
65,65.jpg,in life it's not where you go it's who you travel with
66,66.jpg,here is the test to find whether your mission on earth is finished if you're alive it isn't
67,67.jpg,here is the test to find whether your mission on earth is finished if you're alive it isn't
68,68.jpg,outside of the comfort zone is where the magic happens
69,69.jpg,here is the test to find whether your mission on earth is finished if you're alive it isn't
70,70.jpg,you can only lose something that you have but you cannot lose something that you are
71,71.jpg,don't expect a seat if you bring nothing to the table
72,72.jpg,don't expect a seat if you bring nothing to the table
73,73.jpg,love the life you live live the life you love
74,74.jpg,the desire to reach for the stars is ambitious the desire to reach hearts is wise
75,75.jpg,dream and give yourself permission to envision a you that you choose to be
76,76.jpg,whatever you are be a good one
77,77.jpg,there are only two ways to love your life one is as though nothing is a miracle the other is as though everything is a miracle
78,78.jpg,yesterday is history tomorrow is a mystery today is a gift that's why we call it the present
79,79.jpg,success is liking yourself liking what you do and linking how you do it
80,80.jpg,keep it simple keep it honest keep it you
81,81.jpg,constipated the read lots and lits of inspirational quotes
82,82.jpg,what food is having a belly if theres no fire in it wake up drink your passion light a match and get to work
83,83.jpg,the problem with internet quotes is that you cant always depend on thier accuracy
84,84.jpg,wrong is wrong even if everybody is doing it right is right even if nobody is doing it
85,85.jpg,hurt me with the truth but never comfort me with a lie
86,86.jpg,the tongue like a sharp knife kills without drawing blood
87,87.jpg,integrity is doing the right thing when no one is watching
88,88.jpg,only a true best friend can protect you from your immortal enemies
89,89.jpg,when someone wants to give you a piece of theis mind ask them to give you peace from their heart instead
90,90.jpg,what comes easy won't last what lasts won't come easy
91,91.jpg,deal with the world the way it is not the way you wish it was
92,92.jpg,no road is long with good company
93,93.jpg,the saddest thing about betrayal is it rarely comes from your enemies
94,94.jpg,dont confuse your path with your destination just because its stormy now doesnt mean that you aren't headed for sunshine
95,95.jpg,a smooth sea never made a skillful sailor
96,96.jpg,you know your in love when you con't fall asleep because reality is finally better than your dreams
97,97.jpg,your value doesn't decrease based on someones inability to see your worth
98,98.jpg,do what you can with what you have where you are
99,99.jpg,"if you want to feel rich, just count all the gift you have that many can't buy"
100,100.jpg,good artists copy great artists steal
101,101.jpg,your vision will become clear only when you look into your heart who looks outside dreams who looks inside awakens 
102,102.jpg,talent hits a targent no one else can hit genius hits a target no one else can see
103,103.jpg,rules for happiness something to do someone to love something to hope for
104,104.jpg,rich people have small tvs and big libraries and poor people have small libraries and big tvs
105,105.jpg,when life knocks you down roll over and look at the stars
106,106.jpg,courage isnt a matter of not being frightened you know its being afraid and doing what you have to do anyway
107,107.jpg,dont confuse your path with your destination just because its stormy now doesnt mean that you arent headed for sunshine
108,108.jpg,common sense i deodorant the people who need it most never use it
109,109.jpg,nobody looks back on their life and remembers the nights they got plenty of sleep
110,110.jpg,better to die fighting for freedom then be a prisoner all the days of your life
111,111.jpg,the successful person and the unsuccessful person are looking at the same word the difference between them i what they see
112,112.jpg,the time is always right to do what is right
113,113.jpg,when you have nothing you have nothing to lose
114,114.jpg,the two most powerful words i am what comes next defines you
115,115.jpg,nothing ever goes away until it has taught us what we need to know
116,116.jpg,we rise by lifting others
117,117.jpg,life doesnt imitate art it imitates bad television
118,118.jpg,you may say im a dreamer but im not the only one i hope someday youll join us and the world will live as one
119,119.jpg,a good traveler has no fixed plans and is not inent on arriving
120,120.jpg,if it can be destroyed by the truth it deserves to be destroyed by the truth
121,121.jpg,count your age by friends not years count your life by smiles not tears
122,122.jpg,a word to the wise aint necessary its the stupid ones who need advice
123,123.jpg,do one thing every day that scares you
124,124.jpg,remember the december that love weighs more than gold
125,125.jpg,i am in charge of how i feel today i choose happiness
126,126.jpg,its your road and yours alone others may walk it with you but nobody can walk it for you
127,127.jpg,hig harder laugh louder smile bigger love longer
128,128.jpg,if youre going to hitch your wagon to a star be sure its the star of bethlehem
129,129.jpg,i may not have gone where i intended to go but i think i have ended up where i needed to be
130,130.jpg,you never have to change anything you got up in the middle of the night to write
131,131.jpg,whats meant to be will always find a way
132,132.jpg,never never never give up
133,133.jpg,life is like riding a bicycle to keep your balance you must keep moving
134,134.jpg,the heart of the giver makes the gift dear and precious
135,135.jpg,the human body is the best work of art
136,136.jpg,there is a very real relationship both quantitatively and qualitatively between what you controbute and what you get out of this world
137,137.jpg,success if not final failure is not fatal it is the courage to continue that counts
138,138.jpg,if you tell the truth you dont have to remember anything
139,139.jpg,i bring you good news that will cause great joy for all the people today a saviour has been born to you he is the messiah the lord
140,140.jpg,live as if you were to die tomorrow learn as if you were to live forever
141,141.jpg,theres a great joy in my giving its thrilling its exhilarating its important to be a part of sharing it is my love it is my joy
142,142.jpg,two things are infinite the universe and human stupidity and im not sure about the universe
143,143.jpg,man may have discovered fire but women discovered how to play with it
144,144.jpg,tell the truth or someone will tell ir for you
145,145.jpg,we make a living by what we get but we make a life by what we give
146,146.jpg,life is a matter of balance
147,147.jpg,anyone who lives within their means suffers from a lack of imagination
148,148.jpg,if you dont know where youre going any roadll take you there
149,149.jpg,you can give without loving but you cannot love without giving
150,150.jpg,the greatest pleasure in life is doing what others say you cannot do
151,151.jpg,your values doesnt decrease based on somones inability to see your worth
152,152.jpg,some people come into our lives and quickly go some stay for awhile and leave footprints on our hearts and we are never ever the same
153,153.jpg,it is better to have a heart without words than words without a heart
154,154.jpg,sometimes the best road is the one you make
155,155.jpg,did you ever wonder if the person in the puddle is real and youre just a reflection of him
156,156.jpg,remember that the happiest people are not those getting more but those giving more
157,157.jpg,happy new dreams happy new days happy new desires happy new ways happy new year happy new you
158,158.jpg,its a good day to have a good day
159,159.jpg,you never have to change anything you got up in the middle of the night to write
160,160.jpg,the thrill of taking lasts a day the thrill of giving lasts a lifetime 
161,161.jpg,when you make a choice you change the future
162,162.jpg,none of us knows what might happen even the next minute yet still we go forward because we trust because we have faith
163,163.jpg,the object of new year is not that we should have a new year it is that we should have a new soul
164,164.jpg,the only true wisdom is in knowing your know nothing
165,165.jpg,what the new year brings to you will depend a great deal on what you bring to the new year
166,166.jpg,if you want your children to be intelligent read them fairy tales
167,167.jpg,let us be grateful to the people who make us happy they are the charming gardeners who make our souls blossom
168,168.jpg,when a friend does something wrong dont forget all the things they did right
169,169.jpg,the more i see the less i know for sure
170,170.jpg,to love someone is nothing to be loved by someone is something but to be loved by the one you love is everything
171,171.jpg,there is scarcely any passion without struggle
